ID,URL,ciudad,Zona,Barrio,Cordenada_latitud,cordenada_longitud,Tipo,piso,Estrato,Area_contruida,parqueaderos,Baños,Habitaciones,Precio
1564437042-4552,https://www.fincaraiz.com.co/casa-en-venta/cali/buitrera-det-4138458.aspx,Cali,Zona Sur,la buitrera ,3.483071566,-76.20885468,Casa,2,2,240,,3,6,180000000
1564437042-4882,https://www.fincaraiz.com.co/casa-en-venta/cali/villagorogona-det-2924818.aspx,Cali,Zona Norte,villagorogona  ,3.403000116,-76.38700104,Casa,,2,140,1,3,4,140000000
1564442091-12739,https://www.fincaraiz.com.co/apartamento-en-venta/cali/cristales-det-4503603.aspx,Cali,Zona Oeste,cristales  ,3.404000044,-76.45500183,Apartamento,2,6,103,2,2,3,395000000
1564437042-2992,https://www.fincaraiz.com.co/casa-en-venta/cali/poblado_campestre_candelaria_valle-det-4640392.aspx,Cali,Zona Norte,poblado campestre candelaria,3.414577246,-76.45580292,Casa,,3,82,1,3,3,115000000
1564437042-4607,https://www.fincaraiz.com.co/casa-en-venta/cali/poblado_campestre-det-4396780.aspx,Cali,Zona Oriente,poblado campestre ,3.411382914,-76.45618439,Casa,1,3,72,1,2,4,130000000
1564442091-14584,https://www.fincaraiz.com.co/apartamento-en-venta/cali/valle_del_lili-det-3964526.aspx,Cali,Zona Sur,valle del lili,3.434999943,-76.45700073,Apartamento,,4,75,1,2,3,218000000
1564442091-10849,https://www.fincaraiz.com.co/apartamento-en-venta/cali/cristales-det-4706947.aspx,Cali,Zona Oeste,cristales  ,3.407999992,-76.45899963,Apartamento,1,6,85,2,2,3,310000000
1564442091-11687,https://www.fincaraiz.com.co/apartamento-en-venta/cali/cristales-det-4636619.aspx,Cali,Zona Oeste,cristales  ,3.407999992,-76.45899963,Apartamento,1,4,84,2,2,2,315000000
1564437042-290,https://www.fincaraiz.com.co/casa-en-venta/cali/ciudad_real-det-4780904.aspx,Cali,Zona Sur,ciudad real ,3.470361233,-76.45919037,Casa,,4,128,1,3,3,330000000
1564442091-8050,https://www.fincaraiz.com.co/apartamento-en-venta/cali/cristales-det-4476872.aspx,Cali,Zona Oeste,cristales  ,3.410000086,-76.45999908,Apartamento,3,6,84,2,2,2,335000000
1564437042-5466,https://www.fincaraiz.com.co/casa-en-venta/cali/candelaria_poblado_campestre-det-4782954.aspx,Cali,Zona Oriente,candelaria poblado campestre,3.413325071,-76.46162415,Casa,,2,85,1,2,5,98000000
1564437042-3288,https://www.fincaraiz.com.co/casa-en-venta/cali/compartir-det-4616291.aspx,Cali,Zona Oriente,compartir  ,3.432028532,-76.46266937,Casa,,1,60,2,1,2,70000000
1564437042-4896,https://www.fincaraiz.com.co/casa-en-venta/cali/pance-det-4291102.aspx,Cali,Zona Sur,pance  ,3.430000067,-76.46299744,Casa,2,6,237,2,5,4,880000000
1564437042-4058,https://www.fincaraiz.com.co/casa-en-venta/cali/calimio_desepaz-det-4569533.aspx,Cali,Zona Oriente,calimio desepaz ,3.424000025,-76.46299744,Casa,,2,160,,2,5,87000000
1564437042-5565,https://www.fincaraiz.com.co/casa-en-venta/cali/ciudad_talanga-det-4665110.aspx,Cali,Zona Oriente,ciudad talanga ,3.433908463,-76.46315765,Casa,,2,65,,3,4,85000000
